127.0.0.1 - - [28/Oct/2014:11:16:13 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Oct/2014:11:16:21 +0100] "POST /RPi/Blink HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:11:16:21 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:11:16:25 +0100] "GET /RPi/Devices HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [28/Oct/2014:11:16:26 +0100] "POST /RPi/getDevice HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:11:16:26 +0100] "GET /RPi/Devices HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/Devices HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:27 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:28 +0100] "GET /RPi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:28 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:29 +0100] "POST /RPi/Blink HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:29 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:31 +0100] "POST /RPi/Blink HTTP/1.1" 500 1980
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:44:59 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:01 +0100] "POST /RPi/Blink HTTP/1.1" 500 1402
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:37 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:38 +0100] "POST /RPi/Blink HTTP/1.1" 500 1402
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:41 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:42 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:45:47 +0100] "POST /RPi/Blink HTTP/1.1" 500 1980
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/BootstrapMetro/docs/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:46:54 +0100] "GET /RPi/BootstrapMetro/docs/fonts/metroSysIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:47:35 +0100] "GET /RPi/ HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:47:35 +0100] "GET /RPi/BootstrapMetro/docs/css/metro-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:12:47:35 +0100] "GET /RPi/BootstrapMetro/min/metro.min.js HTTP/1.1" 304 -
